date,demand_forecast,traffic_forecast,orders_forecast,units_forecast
2025-02-26,682488.0192,244181.76,5249.90784,20999.63136
2025-02-27,392218.6104,194047.55,2910.71325,7131.247463
2025-02-28,387804.1937,185674.4,2877.9532,7050.98534
2025-03-01,391567.4648,193725.4,2905.881,7119.40845
2025-03-02,374529.3552,210173.6,2837.3436,6809.62464
2025-03-03,341968.77,207253.8,2590.6725,6217.614
2025-03-04,328862.82,199310.8,2491.385,5979.324
2025-03-05,460137.587,181285,3353.7725,9390.563
2025-03-06,507678.073,200015,3700.2775,10360.777
2025-03-07,461584.0866,192246.6,3364.3155,9420.0834
2025-03-08,467862.3758,206671.25,3410.075625,9548.21175
2025-03-09,441322.665,207525,3216.6375,9006.585
2025-03-10,419384.1278,197208.75,3056.735625,8558.85975
2025-03-11,428409.744,195157.5,3122.52,8743.056
2025-03-12,518590.7964,198937.7,3779.8163,10583.48564
2025-03-13,375294.06,186825,2895.7875,6949.89
2025-03-14,377685.504,182140,2914.24,6994.176
2025-03-15,355673.835,189268.75,2744.396875,6586.5525
2025-03-16,385410.15,198256.25,2973.84375,7137.225
2025-03-17,348409.2386,195072.5,2633.47875,6452.022938
2025-03-18,375643.9557,178368.45,2675.52675,7223.922225
2025-03-19,493383.4027,189952.8,3514.1268,9488.14236
2025-03-20,499129.02,177752.5,3555.05,9598.635
2025-03-21,383811.5405,174206.4,2961.5088,7107.62112
2025-03-22,367314.4454,195463.2,2834.2164,6802.11936
2025-03-23,464608.0785,223627.3,3578.0368,8766.19016
2025-03-24,389105.4261,193327.5,2996.57625,7341.611813
2025-03-25,353561.355,176006.25,2728.096875,6547.4325
2025-03-26,414285.0212,186331.6,3074.4714,8454.79635
2025-03-27,400855.058,180291.25,2974.805625,8180.715469
2025-03-28,379488.5084,165661.25,2816.24125,7744.663438
2025-03-29,347667.2959,166457.5,2580.09125,7095.250938
2025-03-30,356202.3609,176228.75,2643.43125,7269.435938
2025-03-31,345321.4669,183048.75,2562.6825,7047.376875
2025-04-01,357081.4363,189282.5,2649.955,7287.37625
2025-04-02,420857.5164,178471.25,3123.246875,8588.928906
2025-04-03,307975.8528,166653.6,2333.1504,5599.56096
2025-04-04,311178.0672,168386.4,2357.4096,5657.78304
2025-04-05,295557.2928,159933.6,2239.0704,5373.76896
2025-04-06,348439.646,185182.635,2592.55689,6222.136536
2025-04-07,299448.0115,185669.65,2228.0358,5347.28592
2025-04-08,306196.0749,175249.585,2278.244605,5467.787052
2025-04-09,324186.1325,172292.8,2412.0992,5789.03808
2025-04-10,546005.0432,193406.2,4216.25516,15600.14409
2025-04-11,619606.3734,199358.55,4784.6052,17703.03924
2025-04-12,583792.0736,209676.6,4508.0469,16679.77353
2025-04-13,611516.5214,219634.2,4722.1353,17471.90061
2025-04-14,328775.265,208746.2,2348.39475,5870.986875
2025-04-15,324278.136,193022.7,2316.2724,5790.681
2025-04-16,441274.0881,195146.518,3141.85894,8325.92619
2025-04-17,453971.1319,194714.55,3232.26153,8565.493055
2025-04-18,424671.521,178914.15,3023.649135,8012.670208
2025-04-19,398903.4346,174780.375,2840.181094,7526.479898
2025-04-20,396813.2895,176581.2075,2825.29932,7487.043198
2025-04-21,476185.7457,197692.65,3390.428948,8984.636711
2025-04-22,380852.8008,196853.8,2711.661095,7185.901902
2025-04-23,456833.0817,192748.95,3252.638531,8619.492108
2025-04-24,346610.3768,174228.6,2526.3147,6189.471015
2025-04-25,333612.433,167695,2431.5775,5957.364875
2025-04-26,321604.4318,173633.75,2344.055625,5742.936281
2025-04-27,349842.4108,195392.475,2549.871799,6247.185907
2025-04-28,326159.0842,182865.6,2377.2528,5824.26936
2025-04-29,325637.3904,170751.825,2373.450368,5814.9534
2025-04-30,329368.6751,169059.6,2400.64632,5881.583484
2025-05-01,327075.0412,176187.805,2290.441465,5840.625736
2025-05-02,327420.4776,166753.49,2292.860488,5846.794243
2025-05-03,318098.2373,193702.495,2227.578693,5680.325666
2025-05-04,333556.418,188806,2543.32,5468.138
2025-05-05,301044.333,180800.84,2295.42,4935.153
2025-05-06,297529.513,177864.9,2268.62,4877.533
2025-05-07,522150.6766,197483.84,4265.9369,15357.37284
2025-05-08,525474.4608,209112.36,4293.092,15455.1312
2025-05-09,470869.434,184653.34,3846.9725,13849.101
2025-05-10,316322.6035,186943.47,2246.6094,4942.54068
2025-05-11,330515.6096,187062.66,2347.412,5164.3064
2025-05-12,308374.9504,188665.3,2190.163,4818.3586
2025-05-13,327723.264,179921.8,2327.58,5120.676
2025-05-14,364702.976,172874.74,2590.22,5698.484
2025-05-15,357388.0346,172715.13,2789.9144,5858.82024
2025-05-16,317568.4571,169044.33,2479.0668,5206.04028
2025-05-17,302541.5585,179870.53,2361.7608,4959.69768
2025-05-18,322495.6442,187080.46,2517.5304,5286.81384
2025-05-19,296857.9152,181708.59,2317.392,4866.5232
2025-05-20,320258.6468,167111.84,2500.0675,5250.14175
2025-05-21,443606.625,197964,3226.23,8872.1325
2025-05-22,438149.25,205686,3186.54,8762.985
2025-05-23,500324.3438,202294.8,3638.7225,10006.48688
2025-05-24,467580.0938,207744.75,3400.5825,9351.601875
2025-05-25,501373.125,224091.9,3646.35,10027.4625
2025-05-26,656718.5625,224006.9,4776.135,13134.37125
2025-05-27,376576.2,201475.3,2738.736,7531.524
2025-05-28,427033.75,187621.2,3105.7,8540.675
