date,country_code,sessions,purchases,revenue
2023-12-12,CA,2620,34,5496.04
2023-12-12,GB,2252,22,3869.83
2023-12-13,CA,2483,26,4966.8
2023-12-13,GB,2222,10,2934.47
2023-12-14,CA,2423,24,6357.89
2023-12-14,GB,2049,13,3767.23
2023-12-15,CA,2327,34,5062.57
2023-12-15,GB,2000,14,3153.47
2023-12-16,CA,2420,17,2404.26
2023-12-16,GB,2108,17,3077.5
2023-12-17,CA,2537,23,2939.3
2023-12-17,GB,2309,19,2764.44
2023-12-18,CA,2470,23,4289.02
2023-12-18,GB,2402,18,2836.19
2023-12-19,CA,2355,21,3838.04
2023-12-19,GB,2177,15,3031.04
2023-12-20,CA,2152,14,2337.8
2023-12-20,GB,2016,14,2765.33
2023-12-21,CA,2223,17,2578.08
2023-12-21,GB,1961,7,1347.25
2023-12-22,CA,2280,26,4779.12
2023-12-22,GB,2032,12,3853.19
2023-12-23,CA,2401,13,2633.55
2023-12-23,GB,1964,3,752.6
2023-12-24,CA,2586,16,2741.33
2023-12-24,GB,1873,2,423.26
2023-12-25,CA,3905,29,5701.69
2023-12-25,GB,3095,9,2696.05
2023-12-26,CA,4890,48,12373.1
2023-12-26,GB,3445,7,1668.66
2023-12-27,CA,3352,26,4089.87
2023-12-27,GB,2793,10,2060.02
2023-12-28,CA,3025,36,6550.38
2023-12-28,GB,2690,17,4127.73
2023-12-29,CA,2841,30,5772.57
2023-12-29,GB,2617,12,3638.88
2023-12-30,CA,2718,20,3042.11
2023-12-30,GB,2401,9,1614.36
2023-12-31,CA,2373,19,3641.37
2023-12-31,GB,2072,7,1658.37
2024-01-01,CA,2313,12,1765.98
2024-01-01,GB,2276,11,3112.31
2024-01-02,CA,2232,14,2482.47
2024-01-02,GB,2254,6,2051.44
2024-01-03,CA,2206,20,4624.38
2024-01-03,GB,2019,8,1806.41
2024-01-04,CA,2063,18,2959.27
2024-01-04,GB,1973,6,952.41
2024-01-05,CA,2300,17,3076.69
2024-01-05,GB,1960,10,1738.9
2024-01-06,CA,2385,26,5049.81
2024-01-06,GB,1988,2,374.53
2024-01-07,CA,2672,19,3484.98
2024-01-07,GB,2125,5,861.1
2024-01-08,CA,2437,18,3665.11
2024-01-08,GB,2098,10,2445.29
2024-01-09,CA,2315,18,3526.96
2024-01-09,GB,1949,5,1273.39
2024-01-10,CA,2264,22,3936.66
2024-01-10,GB,2040,6,1129.76
2024-01-11,CA,2168,16,2842.69
2024-01-11,GB,1800,9,1594.4
2024-01-12,CA,2237,15,3602.16
2024-01-12,GB,1843,9,2107.83
2024-01-13,CA,2344,17,4914.76
2024-01-13,GB,2055,2,394.61
2024-01-14,CA,2370,13,2143.05
2024-01-14,GB,2161,5,949.94
2024-01-15,CA,1992,13,2937.44
2024-01-15,GB,1907,6,2962.17
2024-01-16,CA,2129,11,1490.48
