date,sessions,purchases,revenue
2025-01-09,2712,20,5325.34
2025-01-10,2510,26,5703.07
2025-01-11,2511,24,2455.12
2025-01-12,2638,13,1608.67
2025-01-13,2216,14,1592.23
2025-01-14,2256,10,1338.74
2025-01-15,2386,13,2143.01
2025-01-16,2341,18,3736.88
2025-01-17,2397,13,1539.03
2025-01-18,2908,26,4873.34
2025-01-19,2768,11,1857.85
2025-01-20,2470,7,992.98
2025-01-21,2461,17,4717.46
2025-01-22,2388,19,2995.79
2025-01-23,2320,12,1907.59
2025-01-24,2393,16,2091.06
2025-01-25,2730,12,1538.24
2025-01-26,2703,17,1981.72
2025-01-27,2331,11,1318.22
2025-01-28,2323,15,1972.66
2025-01-29,2168,16,2354.54
2025-01-30,2119,22,2426.96
2025-01-31,2002,22,2837.82
2025-02-01,2090,14,1461.84
2025-02-02,2319,12,1305.97
2025-02-03,2081,11,1176.84
2025-02-04,2114,19,1910.4
2025-02-05,2296,21,2500.35
2025-02-06,2182,16,1627.69
2025-02-07,2136,14,945.09
2025-02-08,2236,14,3526.21
2025-02-09,2370,16,1954.54
2025-02-10,2041,9,1008.3
2025-02-11,2061,13,2903.17
2025-02-12,2206,11,1353.72
2025-02-13,2102,15,3044.71
2025-02-14,1877,9,1540.43
2025-02-15,2250,11,1592.36
2025-02-16,2567,7,1896.51
2025-02-17,2565,16,2088.72
2025-02-18,2104,10,1901.32
2025-02-19,2010,15,2917.37
2025-02-20,1865,5,788.12
2025-02-21,1915,15,1723.51
2025-02-22,2454,14,1194.59
2025-02-23,2551,10,1806.89
2025-02-24,2410,12,1993.12
2025-02-25,2062,9,1248.66
2025-02-26,2147,22,3186.57
2025-02-27,1888,11,1510.1
2025-02-28,2010,10,1696.97
2025-03-01,2227,14,1449.25
2025-03-02,2544,16,3601.69
2025-03-03,2169,13,1097.1
2025-03-04,2119,11,1176.83
2025-03-05,2166,12,2695.3
2025-03-06,2050,12,2166.69
2025-03-07,1991,9,1038.73
2025-03-08,2202,13,1141.6
2025-03-09,2432,9,1892.56
2025-03-10,2375,12,1517.13
2025-03-11,2232,17,2841.19
2025-03-12,2301,8,1249.36
2025-03-13,2343,14,2013.27
2025-03-14,2186,19,2302.52
2025-03-15,2426,13,2326.86
2025-03-16,2506,16,2230.2
2025-03-17,2205,8,999.15
2025-03-18,2231,15,1455.21
2025-03-19,2104,16,2005.07
2025-03-20,2126,8,1062.61
2025-03-21,2169,13,1552.75
2025-03-22,2588,15,2415.24
2025-03-23,2786,16,3317.21
2025-03-24,2747,12,1922.47
2025-03-25,2394,12,1937.83
2025-03-26,2368,13,2203.45
