date,sessions,engaged_sessions
2024-03-17,158540,121810
2024-03-18,156058,120173
2024-03-19,155103,120328
2024-03-20,158294,121278
2024-03-21,142034,113523
2024-03-22,145172,112628
2024-03-23,162753,129552
2024-03-24,172021,135975
2024-03-25,154662,119580
2024-03-26,140805,112498
2024-03-27,143325,111083
2024-03-28,144233,112801
2024-03-29,132495,103605
2024-03-30,133143,104343
2024-03-31,140983,112295
2024-04-01,146439,113822
2024-04-02,151426,119661
2024-04-03,142777,112006
2024-04-04,138878,107720
2024-04-05,140322,111235
2024-04-06,133278,104296
2024-04-07,144111,112427
2024-04-08,144436,110617
2024-04-09,136381,105450
2024-04-10,134080,106731
2024-04-11,148774,117825
2024-04-12,147673,112132
2024-04-13,155316,116621
2024-04-14,162692,123518
2024-04-15,160574,125315
2024-04-16,148479,118797
2024-04-17,158373,124018
2024-04-18,144384,113641
2024-04-19,143020,112048
2024-04-20,130179,101052
2024-04-21,131653,103543
2024-04-22,129994,99556
2024-04-23,136760,107880
2024-04-24,145753,113574
2024-04-25,134016,107069
2024-04-26,134156,104638
2024-04-27,138869,111010
2024-04-28,153249,122118
2024-04-29,143371,110484
2024-04-30,133923,104267
2024-05-01,140883,86382
2024-05-02,138458,77773
2024-05-03,131027,74532
2024-05-04,152222,84446
2024-05-05,140900,78937
2024-05-06,134926,78068
2024-05-07,132735,70365
2024-05-08,147376,82147
2024-05-09,156039,85107
2024-05-10,137789,74690
2024-05-11,140559,79779
2024-05-12,139548,78030
2024-05-13,140795,76614
2024-05-14,134270,78677
2024-05-15,129011,73280
2024-05-16,129861,78045
2024-05-17,127101,73400
2024-05-18,135241,76656
2024-05-19,140662,78365
2024-05-20,136623,76378
2024-05-21,125648,71468
2024-05-22,146640,85645
2024-05-23,152360,88519
2024-05-24,149848,84335
2024-05-25,153885,89034
2024-05-26,165959,92500
2024-05-27,172313,98556
2024-05-28,154858,86963
2024-05-29,144324,83712
2024-05-30,129307,72149
2024-05-31,123047,68822
2024-06-01,123454,69350
2024-06-02,130925,76450
2024-06-03,118020,68841
2024-06-04,116830,67271
2024-06-05,123305,69696
2024-06-06,121455,69586
2024-06-07,110891,61794
2024-06-08,119054,65565
2024-06-09,128442,72058
2024-06-10,120621,68996
2024-06-11,134745,80171
2024-06-12,136485,79076
2024-06-13,141399,81715
2024-06-14,142583,82348
2024-06-15,132350,73610
2024-06-16,132222,75433
2024-06-17,132177,73898
2024-06-18,170543,99785
2024-06-19,137086,77665
2024-06-20,142102,82896
2024-06-21,145070,80595
2024-06-22,132132,74887
2024-06-23,135741,76667
2024-06-24,137197,77782
2024-06-25,136826,76781
2024-06-26,132375,75672
2024-06-27,137177,77847
2024-06-28,127083,70745
2024-06-29,125116,71310
2024-06-30,155750,93768
2024-07-01,158052,91525
2024-07-02,155987,91980
2024-07-03,148884,85120
2024-07-04,132067,77829
2024-07-05,140280,83027
2024-07-06,148531,86397
2024-07-07,142965,84869
2024-07-08,164860,98915
2024-07-09,136049,77745
2024-07-10,129721,73932
2024-07-11,127031,70599
2024-07-12,151868,88176
2024-07-13,157439,88040
2024-07-14,156849,84634
2024-07-15,131546,75511
2024-07-16,152181,92273
2024-07-17,146933,86391
2024-07-18,173258,102733
2024-07-19,175145,99484
2024-07-20,172579,98311
2024-07-21,184387,106748
2024-07-22,190448,109733
2024-07-23,177812,101340
2024-07-24,178654,107432
2024-07-25,172058,103421
2024-07-26,170739,98753
2024-07-27,179748,102783
2024-07-28,179976,106607
2024-07-29,166491,101406
2024-07-30,165656,99138
2024-07-31,155331,92414
2024-08-01,158655,94490
2024-08-02,166302,97911
2024-08-03,172418,100918
2024-08-04,170044,101225
2024-08-05,171421,97640
2024-08-06,179007,103890
2024-08-07,171909,100209
2024-08-08,166379,94173
2024-08-09,163487,91253
2024-08-10,152511,85073
2024-08-11,166041,95288
2024-08-12,159093,92353
2024-08-13,161987,94551
2024-08-14,158850,92904
2024-08-15,151490,91801
2024-08-16,148700,85599
2024-08-17,166539,95219
2024-08-18,167644,98084
2024-08-19,185732,110550
2024-08-20,187401,110304
2024-08-21,193731,107940
2024-08-22,172420,94071
2024-08-23,145814,78572
2024-08-24,151870,83788
2024-08-25,165353,92648
2024-08-26,149364,84007
2024-08-27,156024,86710
2024-08-28,159265,91347
2024-08-29,167018,89798
2024-08-30,174136,91058
2024-08-31,172097,98194
2024-09-01,177311,99530
2024-09-02,176445,102043
2024-09-03,157041,88559
2024-09-04,156631,88299
2024-09-05,144041,78694
2024-09-06,144131,76244
2024-09-07,154299,82034
2024-09-08,166021,93323
2024-09-09,142572,79872
2024-09-10,148981,82633
2024-09-11,142515,80586
2024-09-12,140372,80646
2024-09-13,148196,83610
2024-09-14,148673,81391
2024-09-15,157230,89970
2024-09-16,159382,88604
2024-09-17,171486,97187
2024-09-18,194809,115817
2024-09-19,194196,111186
2024-09-20,199381,118236
2024-09-21,193485,113993
2024-09-22,182216,109693
2024-09-23,173114,96724
2024-09-24,182799,101465
2024-09-25,174306,97789
2024-09-26,165923,93938
2024-09-27,143501,85310
2024-09-28,164547,93675
2024-09-29,192234,111439
2024-09-30,172110,103923
2024-10-01,161864,91711
2024-10-02,157628,89681
2024-10-03,151139,88807
2024-10-04,134794,79499
2024-10-05,153699,87558
2024-10-06,160493,94195
2024-10-07,152018,89610
2024-10-08,169075,98176
2024-10-09,182281,109182
2024-10-10,185349,107108
2024-10-11,173067,99360
2024-10-12,170257,97961
2024-10-13,170323,98869
2024-10-14,169614,102206
2024-10-15,155401,92936
2024-10-16,169551,102454
2024-10-17,180025,109805
2024-10-18,167735,101738
2024-10-19,177148,105915
2024-10-20,185982,111648
2024-10-21,176511,108221
2024-10-22,188871,118138
2024-10-23,193226,115497
2024-10-24,188489,114862
2024-10-25,191721,115341
2024-10-26,176918,109840
2024-10-27,175487,107551
2024-10-28,158834,95721
2024-10-29,163532,99029
2024-10-30,185596,118658
2024-10-31,157982,100100
2024-11-01,173336,107130
2024-11-02,171888,117111
2024-11-03,208227,135054
2024-11-04,204602,131065
2024-11-05,199797,126781
2024-11-06,202141,131999
2024-11-07,227132,147165
2024-11-08,211408,138828
2024-11-09,211988,137586
2024-11-10,230700,153779
2024-11-11,245517,162807
2024-11-12,212762,139934
2024-11-13,208042,139117
2024-11-14,221225,145516
2024-11-15,215773,143475
2024-11-16,244818,168784
2024-11-17,272608,184920
2024-11-18,238506,155026
2024-11-19,236329,155738
2024-11-20,243215,163071
2024-11-21,246458,161010
2024-11-22,245530,162774
2024-11-23,250830,167089
2024-11-24,289931,189773
2024-11-25,273889,182892
2024-11-26,315161,209278
2024-11-27,304382,203842
2024-11-28,354018,250630
2024-11-29,506039,372468
2024-11-30,414169,288916
2024-12-01,418890,294525
2024-12-02,487104,349021
2024-12-03,442058,310410
2024-12-04,425104,287309
2024-12-05,420817,285874
2024-12-06,382967,257773
2024-12-07,373385,255807
2024-12-08,407839,277529
2024-12-09,371530,253396
2024-12-10,362376,245927
2024-12-11,356053,250821
2024-12-12,349935,245320
2024-12-13,341673,236730
2024-12-14,329986,224440
2024-12-15,341049,230815
2024-12-16,328165,226649
2024-12-17,294169,202794
2024-12-18,285502,190889
2024-12-19,277466,184122
2024-12-20,255048,165506
2024-12-21,261884,172254
2024-12-22,213661,142753
2024-12-23,192217,123517
2024-12-24,186668,123162
2024-12-25,274395,186894
2024-12-26,335514,227399
2024-12-27,280230,185741
2024-12-28,234442,152882
2024-12-29,243624,158432
2024-12-30,251607,162006
2024-12-31,210625,132938
2025-01-01,239106,154182
2025-01-02,260175,155414
2025-01-03,239219,145213
2025-01-04,223296,132135
2025-01-05,237245,148295
2025-01-06,196725,118703
2025-01-07,210931,127662
