Date,Total Downloads
2019-02-16,190
2019-02-17,220
2019-02-18,215
2019-02-19,208
2019-02-20,176
2019-02-21,224
2019-02-22,215
2019-02-23,216
2019-02-24,287
2019-02-25,233
2019-02-26,244
2019-02-27,238
2019-02-28,235
2019-03-01,234
2019-03-02,264
2019-03-03,301
2019-03-04,250
2019-03-05,234
2019-03-06,210
2019-03-07,206
2019-03-08,229
2019-03-09,217
2019-03-10,262
2019-03-11,224
2019-03-12,183
2019-03-13,197
2019-03-14,198
2019-03-15,191
2019-03-16,196
2019-03-17,233
2019-03-18,242
2019-03-19,188
2019-03-20,183
2019-03-21,240
2019-03-22,211
2019-03-23,219
2019-03-24,269
2019-03-25,232
2019-03-26,221
2019-03-27,227
2019-03-28,254
2019-03-29,247
2019-03-30,246
2019-03-31,254
2019-04-01,251
2019-04-02,223
2019-04-03,208
2019-04-04,216
2019-04-05,209
2019-04-06,212
2019-04-07,228
2019-04-08,203
2019-04-09,164
2019-04-10,197
2019-04-11,166
2019-04-12,177
2019-04-13,71
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,0
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,0
2019-04-28,0
2019-04-29,0
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,0
2019-05-04,0
2019-05-05,0
2019-05-06,0
2019-05-07,0
2019-05-08,151
2019-05-09,139
2019-05-10,189
2019-05-11,212
2019-05-12,204
2019-05-13,140
2019-05-14,193
2019-05-15,165
2019-05-16,162
2019-05-17,169
2019-05-18,182
2019-05-19,229
2019-05-20,180
2019-05-21,194
2019-05-22,268
2019-05-23,285
2019-05-24,281
2019-05-25,299
2019-05-26,301
2019-05-27,310
2019-05-28,298
2019-05-29,281
2019-05-30,244
2019-05-31,226
2019-06-01,238
2019-06-02,240
2019-06-03,219
2019-06-04,193
2019-06-05,226
2019-06-06,230
2019-06-07,215
2019-06-08,222
2019-06-09,210
2019-06-10,209
2019-06-11,194
2019-06-12,159
2019-06-13,197
2019-06-14,179
2019-06-15,199
2019-06-16,207
2019-06-17,276
2019-06-18,221
2019-06-19,221
2019-06-20,220
2019-06-21,226
2019-06-22,199
2019-06-23,246
2019-06-24,266
2019-06-25,257
2019-06-26,265
2019-06-27,309
2019-06-28,278
2019-06-29,255
2019-06-30,299
2019-07-01,221
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-07-20,0
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,0
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-17,0
2019-08-18,0
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-24,0
2019-08-25,0
2019-08-26,0
