date,sessions,purchases,revenue
2024-07-17,8684,64,13893.93
2024-07-18,8554,59,13033.49
2024-07-19,8075,66,11116.75
2024-07-20,8012,66,16775.38
2024-07-21,8585,51,9940.39
2024-07-22,8818,43,8228.61
2024-07-23,8281,48,9397.15
2024-07-24,8400,43,9480.67
2024-07-25,8293,55,11966.39
2024-07-26,7780,59,13621.53
2024-07-27,8297,66,12859.22
2024-07-28,8384,64,13058.75
2024-07-29,8304,62,16738.73
2024-07-30,8395,56,9901.19
2024-07-31,8064,51,10913.98
2024-08-01,7951,44,9404.04
2024-08-02,7875,41,6704.61
2024-08-03,8240,56,12479.84
2024-08-04,8565,48,10016.06
2024-08-05,9249,49,9641.97
2024-08-06,8456,58,13305.8
2024-08-07,8301,65,17866.78
2024-08-08,7832,38,6054.62
2024-08-09,8396,49,9070.6
2024-08-10,7764,37,6076.16
2024-08-11,8709,47,9879.53
2024-08-12,8571,39,7417.25
2024-08-13,9095,43,8152.23
2024-08-14,8756,50,7467.71
2024-08-15,8207,73,17372.32
2024-08-16,8270,43,6228.25
2024-08-17,8394,30,4742.51
2024-08-18,8607,29,4925.37
2024-08-19,9401,63,14804.02
2024-08-20,9086,64,14584.04
2024-08-21,8815,72,11317.57
2024-08-22,8692,44,6843.32
2024-08-23,8575,45,10638.88
2024-08-24,8359,39,7403.25
2024-08-25,9394,35,12559.67
2024-08-26,8756,57,13896.09
2024-08-27,8897,50,8323.63
2024-08-28,9321,47,8475.14
2024-08-29,8690,44,8954.34
2024-08-30,8352,61,13433.77
2024-08-31,8991,43,7641.89
2024-09-01,9589,53,12099.86
2024-09-02,10242,88,22160.83
2024-09-03,8902,60,14057.46
2024-09-04,9027,56,9791.44
2024-09-05,8604,45,8813.81
2024-09-06,8208,54,8899.13
2024-09-07,8662,39,7714.66
2024-09-08,9104,50,11903.47
2024-09-09,8276,41,8108.81
2024-09-10,8516,44,8756.04
2024-09-11,8394,30,6760.84
2024-09-12,8307,52,10501.37
2024-09-13,8232,55,11244.38
2024-09-14,8798,33,6445.86
2024-09-15,9417,45,9888.14
2024-09-16,8667,38,7442.98
2024-09-17,8880,77,16880.72
2024-09-18,10263,96,16689.54
2024-09-19,10501,115,25442.77
2024-09-20,9933,76,12510.74
2024-09-21,9422,61,9446.74
2024-09-22,9984,62,13531.72
2024-09-23,9046,33,8913.86
2024-09-24,10318,45,10963.89
2024-09-25,10837,51,10495.15
2024-09-26,9548,47,9947.39
2024-09-27,9969,55,11880.5
2024-09-28,10129,66,10542.52
2024-09-29,10179,55,9724.99
2024-09-30,9503,71,14022.14
2024-10-01,9246,64,13269.33
2024-10-02,8847,44,8476.25
2024-10-03,8490,46,10298.72
2024-10-04,8723,50,10197.31
2024-10-05,9659,39,7507.06
2024-10-06,12171,42,6629.57
2024-10-07,10515,29,5813.78
2024-10-08,11072,53,11640.76
2024-10-09,12662,65,11720.92
2024-10-10,11634,75,15946.24
2024-10-11,10788,40,8025.89
2024-10-12,11057,38,7525.15
2024-10-13,10817,45,7959.12
2024-10-14,11379,41,9217.74
2024-10-15,9529,42,8786.1
2024-10-16,9696,44,8070.41
2024-10-17,9813,64,14545.4
2024-10-18,9913,55,12674.76
2024-10-19,10354,35,7694.33
2024-10-20,11760,52,10184.32
2024-10-21,11049,59,14652.23
2024-10-22,11650,60,12710.17
2024-10-23,11363,61,12401.52
2024-10-24,10773,56,10688.95
2024-10-25,10718,67,10984.56
2024-10-26,10631,42,8358.09
2024-10-27,11855,51,11093.61
2024-10-28,10423,50,10438.24
2024-10-29,10790,54,9560.3
2024-10-30,12414,56,10467.1
2024-10-31,10195,54,8900.31
2024-11-01,11152,55,10764.87
2024-11-02,11678,74,18772.58
2024-11-03,13164,57,9312.45
2024-11-04,11511,62,12829.11
