date,channel,user_type,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-02-04,Organic Search,established,1102,2389.72,20,785,171.5,114.94
2023-02-04,Organic Search,new,9132,10699.92,67,6557,690.96,520.24
2023-02-04,Organic Shopping,(not set),7,0,0,4,0,0
2023-02-04,Organic Shopping,established,44,407.78,2,34,10,25.82
2023-02-04,Organic Shopping,new,173,486.39,4,129,33,29.41
2023-02-04,Organic Social,(not set),12,0,0,11,0,0
2023-02-04,Organic Social,established,139,229.73,3,103,30,16.74
2023-02-04,Organic Social,new,837,1043.2,7,646,43,48.06
2023-02-04,Organic Video,established,2,0,0,2,0,0
2023-02-04,Paid Search,(not set),436,646.64,5,275,49,34.68
2023-02-04,Paid Search,established,2922,10215.44,72,1961,736,550.77
2023-02-04,Paid Search,new,22367,46953.81,362,14793,3546.06,2757.64
2023-02-04,Paid Social,(not set),258,378.13,4,172,33,10.56
2023-02-04,Paid Social,established,2239,4440.69,30,1360,238,207.96
2023-02-04,Paid Social,new,7989,12749.86,85,4210,717,658.91
2023-02-04,Paid Video,new,2,0,0,1,0,0
2023-02-04,Payment Redirects,(not set),29,1573.57,6,25,70,99.38
2023-02-04,Payment Redirects,established,97,1034.89,8,79,94,57.54
2023-02-04,Payment Redirects,new,276,3236.32,22,192,306.5,188.41
2023-02-04,Referral,(not set),6,0,0,3,0,0
2023-02-04,Referral,established,50,421.94,2,38,0,34.74
2023-02-04,Referral,new,122,464.34,1,72,25.68,42.3
2023-02-04,SMS,(not set),755,2611.83,15,419,88.5,148.7
2023-02-04,SMS,established,4821,7216.23,41,2651,346.5,448.84
2023-02-04,SMS,new,10897,17865.54,116,4383,925,1037.08
2023-02-04,Unassigned,(not set),887,2563.24,17,0,153,169.99
2023-02-04,Unassigned,established,170,350.01,2,0,10,24.01
2023-02-04,Unassigned,new,201,2389,16,0,121.5,97.35
2023-02-05,Affiliates,(not set),98,1414.77,11,70,85.5,90.33
2023-02-05,Affiliates,established,593,4162.89,21,445,162,217.26
2023-02-05,Affiliates,new,1928,14441.72,94,1366,638.85,853.56
2023-02-05,Direct,(not set),720,1745.37,9,236,88,96.38
2023-02-05,Direct,established,5487,9751.61,72,4453,730,110.61
2023-02-05,Direct,new,28591,58773.83,398,18227,4189.94,3266.01
2023-02-05,Display,established,30,235.04,1,15,0,9.04
2023-02-05,Display,new,102,0,0,13,0,0
2023-02-05,Email,(not set),707,1642.38,11,461,89,107.62
2023-02-05,Email,established,4120,15994.73,95,2768,769.42,1076.63
2023-02-05,Email,new,12298,25790.74,161,7241,1290.15,1988.04
2023-02-05,Organic Search,(not set),126,281.34,3,84,30,10.88
2023-02-05,Organic Search,established,1081,4314.63,21,785,224.93,186.04
2023-02-05,Organic Search,new,9214,12661.73,85,6552,916.84,781.73
2023-02-05,Organic Shopping,(not set),5,0,0,2,0,0
2023-02-05,Organic Shopping,established,25,76.01,1,21,13,4.61
2023-02-05,Organic Shopping,new,133,135.66,1,102,10,6.66
2023-02-05,Organic Social,(not set),13,0,0,11,0,0
2023-02-05,Organic Social,established,115,83.45,1,89,10,5.46
2023-02-05,Organic Social,new,786,1752.9,9,600,92.5,68.43
2023-02-05,Organic Video,established,4,0,0,4,0,0
2023-02-05,Paid Search,(not set),404,3217.1,16,276,115.5,194.19
2023-02-05,Paid Search,established,3077,8759.17,56,2033,615.98,569.02
2023-02-05,Paid Search,new,23837,47347.5,369,15410,4101.61,2915.52
2023-02-05,Paid Social,(not set),330,690.19,3,215,66.5,40.73
2023-02-05,Paid Social,established,2441,4239.4,32,1545,287.5,228.92
2023-02-05,Paid Social,new,9508,16168.46,109,5305,1022,800.51
2023-02-05,Paid Video,new,4,0,0,2,0,0
2023-02-05,Payment Redirects,(not set),46,526.25,4,34,33,28.68
2023-02-05,Payment Redirects,established,100,1375.52,7,68,42.5,103.36
2023-02-05,Payment Redirects,new,357,4977.6,30,266,353,306.93
2023-02-05,Referral,(not set),5,0,0,5,0,0
2023-02-05,Referral,established,56,251.44,2,40,23.61,40.99
2023-02-05,Referral,new,86,96.64,1,55,10,6.34
2023-02-05,SMS,(not set),879,1763.77,11,462,63,79.05
2023-02-05,SMS,established,5215,10021.4,62,2951,517.5,623.59
2023-02-05,SMS,new,15442,14543.45,95,5342,705,847.23
2023-02-05,Unassigned,(not set),981,2419.98,18,0,195,121.98
2023-02-05,Unassigned,established,173,3090.62,13,0,30,191.28
2023-02-05,Unassigned,new,197,1360.42,9,1,50,80.76
2023-02-06,Affiliates,(not set),56,251.33,2,32,32.5,16.68
2023-02-06,Affiliates,established,583,4138.89,24,411,217,242.82
2023-02-06,Affiliates,new,1884,13882.92,86,1307,763.47,737.81
2023-02-06,Direct,(not set),701,1083.85,7,203,113,68.04
2023-02-06,Direct,established,5383,9205.8,61,4224,683.5,182.6
2023-02-06,Direct,new,26322,42810.49,317,16674,3464.5,2304.5
2023-02-06,Display,established,28,0,0,9,0,0
2023-02-06,Display,new,124,0,0,22,0,0
2023-02-06,Email,(not set),788,3417.15,14,499,159.07,308.94
2023-02-06,Email,established,4197,13180.21,79,2801,659.65,795.68
2023-02-06,Email,new,13527,25304.23,150,7879,1513.19,1940.69
2023-02-06,Organic Search,(not set),148,421.67,3,105,66.5,21.87
2023-02-06,Organic Search,established,1277,3249.25,20,922,212.65,155.84
2023-02-06,Organic Search,new,9191,12238.39,80,6641,914.05,670.2
2023-02-06,Organic Shopping,(not set),2,0,0,1,0,0
2023-02-06,Organic Shopping,established,24,0,0,19,0,0
2023-02-06,Organic Shopping,new,114,129.1,1,90,22.5,7.6
2023-02-06,Organic Social,(not set),12,0,0,12,0,0
2023-02-06,Organic Social,established,91,0,0,72,0,0
2023-02-06,Organic Social,new,664,565.93,3,521,20,33.01
2023-02-06,Organic Video,established,1,0,0,1,0,0
2023-02-06,Organic Video,new,2,0,0,1,0,0
2023-02-06,Paid Search,(not set),359,1096.78,9,253,129,74.37
2023-02-06,Paid Search,established,2744,8548.11,57,1888,570,392.42
2023-02-06,Paid Search,new,19594,44116.16,310,12816,3511,2666.13
2023-02-06,Paid Social,(not set),231,189.73,3,169,30,7.78
2023-02-06,Paid Social,established,2303,4548.79,32,1388,279.5,207.88
2023-02-06,Paid Social,new,8166,8023.25,66,4440,648.5,375.19
2023-02-06,Paid Video,new,1,0,0,0,0,0
2023-02-06,Payment Redirects,(not set),31,989.38,5,26,30,68.43
2023-02-06,Payment Redirects,established,81,1430.83,11,62,80,85.04
2023-02-06,Payment Redirects,new,254,3974.02,24,186,278.5,275.69
2023-02-06,Referral,(not set),7,0,0,3,0,0
2023-02-06,Referral,established,77,231.35,2,60,20,10.62
2023-02-06,Referral,new,136,801.76,2,80,31.97,83.38
2023-02-06,SMS,(not set),716,1575.34,10,367,73,88.77
2023-02-06,SMS,established,4323,7355.5,39,2281,303,439.57
2023-02-06,SMS,new,13642,11919.59,78,4273,737,650.29
2023-02-06,Unassigned,(not set),907,1749.49,11,0,101,114.1
2023-02-06,Unassigned,established,148,264.85,2,0,34,6.98
2023-02-06,Unassigned,new,202,1004.84,6,1,43.88,53.22
2023-02-07,Affiliates,(not set),77,1250.61,7,61,55.5,72.29
2023-02-07,Affiliates,established,538,4075.55,26,388,193.5,233.29
2023-02-07,Affiliates,new,2001,13324.04,81,1429,681,835.63
2023-02-07,Direct,(not set),685,1490.78,11,221,120.5,94.69
2023-02-07,Direct,established,5510,9257.36,64,4413,689.5,115.66
2023-02-07,Direct,new,25830,39355.66,297,15289,3058,2084.31
2023-02-07,Display,(not set),2,0,0,0,0,0
2023-02-07,Display,established,21,129.59,1,8,10,10.59
2023-02-07,Display,new,185,0,0,30,0,0
2023-02-07,Email,(not set),1010,1392.58,11,678,98.5,96.95
2023-02-07,Email,established,5157,14469.16,91,3569,720.06,945.69
2023-02-07,Email,new,14499,28798.82,175,8761,1342.5,1709.05
2023-02-07,Mobile Push Notifications,new,1,0,0,1,0,0
2023-02-07,Organic Search,(not set),120,0,0,82,0,0
2023-02-07,Organic Search,established,1199,5181.93,26,863,363.1,344.23
2023-02-07,Organic Search,new,8661,9838.46,66,6213,709.54,643.35
2023-02-07,Organic Shopping,(not set),25,159,1,15,0,0
2023-02-07,Organic Shopping,established,103,0,0,65,0,0
2023-02-07,Organic Shopping,new,463,731.94,5,303,32.5,43.65
2023-02-07,Organic Social,(not set),24,0,0,13,0,0
2023-02-07,Organic Social,established,159,451.02,1,120,22.5,24.26
2023-02-07,Organic Social,new,918,951.55,5,683,0,53.09
2023-02-07,Paid Search,(not set),366,667.58,7,238,53,48.07
2023-02-07,Paid Search,established,2934,7552.39,48,1916,412.5,352.26
2023-02-07,Paid Search,new,18753,39797.53,294,12309,3243.5,2317.89
2023-02-07,Paid Social,(not set),234,572.9,3,154,10,9.97
2023-02-07,Paid Social,established,2007,3247.88,23,1213,160,142.67
2023-02-07,Paid Social,new,6884,10203.76,68,3630,543.5,480.54
2023-02-07,Payment Redirects,(not set),34,173.05,1,31,10,13.12
2023-02-07,Payment Redirects,established,103,1239.52,9,79,59,81.03
2023-02-07,Payment Redirects,new,268,3614.95,25,200,318.5,206.71
2023-02-07,Referral,(not set),11,0,0,7,0,0
2023-02-07,Referral,established,64,61.86,1,48,13,0
2023-02-07,Referral,new,110,0,0,66,0,0
2023-02-07,SMS,(not set),654,2144.66,15,333,95.5,117.45
2023-02-07,SMS,established,4505,8598.89,46,2538,269.5,546.99
2023-02-07,SMS,new,11518,17249.66,96,4278,733.5,974.79
2023-02-07,Unassigned,(not set),1059,1709.08,17,0,194,99.61
2023-02-07,Unassigned,established,141,218.68,1,0,0,0
2023-02-07,Unassigned,new,232,1542.74,9,7,140.5,85.96
2023-02-08,Affiliates,(not set),69,902.28,5,49,44,62.87
2023-02-08,Affiliates,established,583,4797.97,28,417,178,263.76
2023-02-08,Affiliates,new,2286,13935.77,93,1593,869,820.29
2023-02-08,Direct,(not set),693,1136.04,5,186,44,47.92
2023-02-08,Direct,established,4461,12000.32,68,3584,620.5,213.3
2023-02-08,Direct,new,25964,53139.74,394,15173,4267.95,2670.83
2023-02-08,Display,(not set),5,0,0,2,0,0
2023-02-08,Display,established,17,0,0,10,0,0
2023-02-08,Display,new,118,0,0,22,0,0
2023-02-08,Email,(not set),1018,4050.84,18,683,108,220.57
2023-02-08,Email,established,4983,18050.1,99,3318,732.36,1044.13
2023-02-08,Email,new,16830,39418.76,233,9919,2027.06,2350.9
2023-02-08,Mobile Push Notifications,new,1,0,0,0,0,0
2023-02-08,Organic Search,(not set),140,635.7,3,103,54.47,32.18
2023-02-08,Organic Search,established,1141,2224.79,18,817,170.9,120.6
2023-02-08,Organic Search,new,8366,14129.61,92,6009,1159.62,778.13
2023-02-08,Organic Shopping,(not set),3,0,0,3,0,0
2023-02-08,Organic Shopping,established,48,0,0,33,0,0
2023-02-08,Organic Shopping,new,247,0,0,183,0,0
2023-02-08,Organic Social,(not set),12,0,0,10,0,0
2023-02-08,Organic Social,established,99,319.08,2,79,10,26.4
2023-02-08,Organic Social,new,699,272.63,2,547,10,16.48
