date,platform,users
2023-12-24,Android,205
2023-12-25,web,13591
2023-12-25,iOS,2772
2023-12-25,Android,270
2023-12-26,web,20739
2023-12-26,iOS,3221
2023-12-26,Android,355
2023-12-27,web,18091
2023-12-27,iOS,3017
2023-12-27,Android,296
2023-12-28,web,16781
2023-12-28,iOS,2635
2023-12-28,Android,276
2023-12-29,web,17965
2023-12-29,iOS,2707
2023-12-29,Android,297
2023-12-30,web,16244
2023-12-30,iOS,2359
2023-12-30,Android,276
2023-12-31,web,11582
2023-12-31,iOS,2019
2023-12-31,Android,229
2024-01-01,web,12949
2024-01-01,iOS,2079
2024-01-01,Android,239
2024-01-02,web,12802
2024-01-02,iOS,2038
2024-01-02,Android,220
2024-01-03,web,11942
2024-01-03,iOS,2038
2024-01-03,Android,189
2024-01-04,web,12275
2024-01-04,iOS,2208
2024-01-04,Android,194
2024-01-05,web,14303
2024-01-05,iOS,2226
2024-01-05,Android,243
2024-01-06,web,16380
2024-01-06,iOS,2319
2024-01-06,Android,270
2024-01-07,web,16467
2024-01-07,iOS,2239
2024-01-07,Android,238
2024-01-08,web,13427
2024-01-08,iOS,1966
2024-01-08,Android,221
2024-01-09,web,14097
2024-01-09,iOS,2066
2024-01-09,Android,257
2024-01-10,web,14304
2024-01-10,iOS,2129
2024-01-10,Android,217
2024-01-11,web,14311
2024-01-11,iOS,2143
2024-01-11,Android,232
2024-01-12,web,17648
2024-01-12,iOS,2677
2024-01-12,Android,299
2024-01-13,web,17382
2024-01-13,iOS,2721
2024-01-13,Android,298
2024-01-14,web,16322
2024-01-14,iOS,2491
2024-01-14,Android,290
2024-01-15,web,13996
2024-01-15,iOS,1894
2024-01-15,Android,192
2024-01-16,web,13641
2024-01-16,iOS,1813
2024-01-16,Android,211
2024-01-17,web,14628
2024-01-17,iOS,2006
2024-01-17,Android,245
2024-01-18,web,14825
2024-01-18,iOS,2011
2024-01-18,Android,223
2024-01-19,web,22468
2024-01-19,iOS,2598
2024-01-19,Android,302
2024-01-20,web,20951
2024-01-20,iOS,2974
2024-01-20,Android,325
2024-01-21,web,19810
2024-01-21,iOS,2679
2024-01-21,Android,305
2024-01-22,web,11491
2024-01-22,iOS,1804
2024-01-22,Android,241
2024-01-23,web,11363
2024-01-23,iOS,1812
2024-01-23,Android,213
2024-01-24,web,12233
2024-01-24,iOS,1793
2024-01-24,Android,242
2024-01-25,web,10515
2024-01-25,iOS,1778
2024-01-25,Android,214
2024-01-26,web,9670
2024-01-26,iOS,1643
2024-01-26,Android,229
2024-01-27,web,10684
2024-01-27,iOS,1821
2024-01-27,Android,200
2024-01-28,web,10660
2024-01-28,iOS,1995
2024-01-28,Android,204
2024-01-29,web,9631
2024-01-29,iOS,1495
2024-01-29,Android,182
2024-01-30,web,9998
2024-01-30,iOS,1624
2024-01-30,Android,184
2024-01-31,web,11301
2024-01-31,iOS,1739
2024-01-31,Android,199
2024-02-01,web,12761
2024-02-01,iOS,1890
2024-02-01,Android,188
2024-02-02,web,11886
2024-02-02,iOS,2157
2024-02-02,Android,242
2024-02-03,web,10891
