date,sessions,engaged_sessions
2024-12-07,373385,
2024-12-08,407839,
2024-12-09,371530,
2024-12-10,362376,
2024-12-11,356053,
2024-12-12,349935,
2024-12-13,341673,
2024-12-14,329986,
2024-12-15,341049,
2024-12-16,328165,
2024-12-17,294169,
2024-12-18,285502,
2024-12-19,277466,
2024-12-20,255048,
2024-12-21,261884,
2024-12-22,213661,
2024-12-23,192217,
2024-12-24,186668,
2024-12-25,274395,
2024-12-26,335514,
2024-12-27,280230,
2024-12-28,234442,
2024-12-29,243624,
2024-12-30,251607,
2024-12-31,210625,
2025-01-01,239106,
2025-01-02,260175,155414
2025-01-03,239219,145213
2025-01-04,223296,132135
2025-01-05,237245,148295
2025-01-06,196725,118703
2025-01-07,210931,127662
2025-01-08,200883,122466
2025-01-09,203681,127968
2025-01-10,224202,135657
2025-01-11,210844,134887
2025-01-12,228937,140623
2025-01-13,191000,116333
2025-01-14,201812,127812
2025-01-15,214289,129651
2025-01-16,222711,136522
2025-01-17,212511,130680
2025-01-18,229476,135876
2025-01-19,237248,145970
2025-01-20,209277,129344
2025-01-21,212341,130081
2025-01-22,207780,125786
2025-01-23,215391,127971
2025-01-24,241166,145074
2025-01-25,240991,146139
2025-01-26,237074,147099
2025-01-27,192955,113067
2025-01-28,163630,97717
2025-01-29,174481,110621
2025-01-30,163332,102437
2025-01-31,172707,104028
2025-02-01,185771,110491
2025-02-02,187494,113728
2025-02-03,184326,105815
2025-02-04,176257,104832
2025-02-05,184512,110149
2025-02-06,194162,116592
2025-02-07,182025,107563
2025-02-08,188188,113135
2025-02-09,188178,110880
2025-02-10,188262,108236
2025-02-11,191739,110161
2025-02-12,195160,115912
2025-02-13,181553,107679
2025-02-14,183628,103385
2025-02-15,204383,124050
2025-02-16,242413,144003
2025-02-17,232117,139151
2025-02-18,210189,121771
2025-02-19,222258,131536
2025-02-20,213439,126119
2025-02-21,201818,115500
2025-02-22,207936,125874
2025-02-23,232679,137237
2025-02-24,240370,144499
2025-02-25,252333,149965
2025-02-26,255331,157682
2025-02-27,220037,130079
2025-02-28,193465,117247
2025-03-01,201733,123726
2025-03-02,223276,131895
2025-03-03,209660,125433
2025-03-04,178039,109401
2025-03-05,201063,123858
2025-03-06,208526,123666
2025-03-07,194742,112914
2025-03-08,208907,126216
2025-03-09,215033,126608
2025-03-10,205250,128337
2025-03-11,194191,118778
2025-03-12,206628,124829
2025-03-13,188187,115038
2025-03-14,184408,106136
2025-03-15,202942,122311
2025-03-16,205996,122704
2025-03-17,188078,114041
2025-03-18,189085,113108
2025-03-19,188946,112390
2025-03-20,192289,114042
2025-03-21,195316,114407
2025-03-22,189962,112073
2025-03-23,214686,131383
2025-03-24,196397,120866
2025-03-25,197420,119046
2025-03-26,188122,113754
2025-03-27,186243,109019
2025-03-28,174085,99293
2025-03-29,183522,101333
2025-03-30,48267,27554
