style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
205999-2500,FP,23S1,3/13/2024,45169,32,27,1,YES,LIVE,119,99.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205999-6016,FP,22M1,7/4/2022,,0,0,0,YES,,119,99.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205999-OPW,FP,23S1,4/29/2023,,0,0,0,YES,,119,99.97,50% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206412-1001,FP,22F3,3/7/2024,,564,564,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206811-1001,FP,23S2,1/29/2024,45008,724,719,0,YES,LIVE,179,179,119,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206811-2504,FP,23S2,3/12/2024,45008,35,46,0,YES,LIVE,179,179,119,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206811-4903,FP,23F2,3/13/2024,45100,119,119,0,YES,LIVE,179,179,119,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206811-6002,FP,23F2,1/29/2024,45100,450,448,0,YES,LIVE,179,179,119,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207044-1702,FP,23F2,7/21/2023,45211,120,119,0,YES,LIVE,119,119,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207193C-1001,FP,23F1,8/3/2023,,0,0,0,YES,,129,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207193C-9819,FP,23F1,8/3/2023,45145,11,12,0,YES,LIVE,129,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207313-OLC,FP,23F2,3/13/2024,45162,487,483,0,YES,LIVE,129,129,89,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207464-1001,FP,24S2,3/6/2024,45353,591,617,0,YES,LIVE,179,179,119,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207620-1001,FP,23H2,11/16/2023,45253,145,145,601,YES,LIVE,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207620P-1001,FP,23H2,11/16/2023,45249,43,42,0,YES,LIVE,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207621-1001,FP,23H2,12/4/2023,45252,85,88,504,YES,LIVE,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207621P-1001,FP,23H2,11/17/2023,45252,48,48,0,YES,LIVE,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207623-1001,FP,23H2,12/14/2023,45272,1,1,1056,YES,LIVE,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207623P-1001,FP,23H2,12/14/2023,45280,4,4,0,YES,LIVE,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207659-ICGL,FP,23F2,,,0,0,0,YES,,119,119,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207822C-1001,FP,24S1,1/22/2024,45328,854,851,0,YES,LIVE,179,179,119,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207822C-4610,FP,24S1,1/22/2024,,793,838,0,YES,,179,179,119,REG,,HOLD FOR 4/4 LAUNCH,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
207822C-8014,FP,24S1,1/22/2024,,603,620,0,YES,,179,179,119,REG,,HOLD FOR 4/4 LAUNCH,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208061-1001,OP,24M3,,,0,0,0,,,139,139,89,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208061-1702,OP,24S3,,,0,41,0,YES,,139,139,89,REG,SET LIVE,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208061-2504,OP,24S1,2/1/2024,45288,1,0,0,YES,,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208061-2701,OP,24S1,3/8/2024,45289,-6,19,0,YES,,139,139,99,REG,SET LIVE,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208061-6064,OP,24S1,12/20/2023,,0,0,0,YES,,139,139,99,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208157-9629,FP,24S3,2/28/2024,45362,293,594,0,YES,LIVE,119,119,79,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
208165-3074,FP,24S1,2/1/2024,45330,586,580,0,YES,LIVE,129,129,,REG,,,NEW ARRIVAL,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
202938-GZKL,OP,21S1,1/16/2021,44212,33,33,0,YES,LIVE,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
202952-GWVM,OP,21S1,,,0,0,0,YES,,119,59.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
204345-HPML,FP,21S1,8/3/2021,,0,1,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
204366-HQEM,FP,21S2,,,0,0,0,YES,,159,124.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205240-2SB,FP,22S2,,,0,0,0,YES,,129,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205242-HUUL,FP,22S1,3/7/2022,44603,12,12,0,YES,LIVE,159,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205243-HVNM,FP,22S1,,,0,0,0,YES,,129,79.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205263-OPW3,FP,22S2,,,0,0,0,YES,,129,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205264-3443,FP,22S2,,,0,0,0,YES,,129,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205265-HVAM,FP,22S2,4/9/2022,44692,0,0,0,YES,,129,89.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
